time,cnt_chat,cnt_ㅋ,cnt_ㄵ,cnt_오,cnt_와,cnt_유하,validation
2018-12-07 11:15:58,1,0,0,0,0,0,0
2018-12-07 11:15:59,2,0,0,0,0,0,0
2018-12-07 11:16:00,2,0,0,0,0,0,0
2018-12-07 11:16:01,1,0,0,0,0,0,0
2018-12-07 11:16:02,1,0,0,0,0,0,0
2018-12-07 11:16:03,1,0,0,0,0,0,0
2018-12-07 11:16:04,2,2,0,0,0,0,0
2018-12-07 11:16:05,1,12,0,0,0,0,0
2018-12-07 11:16:06,3,6,0,0,0,0,0
2018-12-07 11:16:08,1,0,0,0,0,0,0
2018-12-07 11:16:11,2,0,0,0,0,0,0
2018-12-07 11:16:12,1,0,0,0,0,0,0
2018-12-07 11:16:15,3,3,0,0,0,0,0
2018-12-07 11:16:17,1,0,0,0,0,0,0
2018-12-07 11:16:18,2,0,0,0,0,0,0
2018-12-07 11:16:24,2,0,0,0,0,0,0
2018-12-07 11:16:25,2,0,0,0,0,0,0
2018-12-07 11:16:26,2,0,0,0,0,0,0
2018-12-07 11:16:36,1,0,0,0,0,0,0
2018-12-07 11:16:38,3,0,0,0,0,0,0
2018-12-07 11:16:40,1,0,0,0,0,0,0
2018-12-07 11:16:41,1,3,0,0,0,0,0
2018-12-07 11:16:42,1,0,0,0,0,0,0
2018-12-07 11:16:43,2,0,0,0,0,0,0
2018-12-07 11:16:46,1,0,0,0,0,0,0
2018-12-07 11:16:49,1,0,0,0,0,0,0
2018-12-07 11:16:51,1,0,0,0,0,0,0
2018-12-07 11:16:52,4,1,0,0,0,0,0
2018-12-07 11:16:54,3,0,0,0,0,0,0
2018-12-07 11:16:55,3,0,0,0,0,0,0
2018-12-07 11:16:56,2,0,0,0,0,0,0
2018-12-07 11:16:57,4,0,0,0,0,0,0
2018-12-07 11:16:58,1,0,0,0,0,0,0
2018-12-07 11:16:59,1,0,0,0,0,0,0
2018-12-07 11:17:00,6,0,0,0,0,0,0
2018-12-07 11:17:01,2,0,0,0,0,0,0
2018-12-07 11:17:02,3,0,0,0,0,0,0
2018-12-07 11:17:03,2,0,0,0,0,0,0
2018-12-07 11:17:04,5,0,0,0,0,0,0
2018-12-07 11:17:05,2,0,0,0,0,0,0
2018-12-07 11:17:06,4,9,0,0,0,0,0
2018-12-07 11:17:07,6,38,0,0,0,0,0
2018-12-07 11:17:08,2,0,0,0,0,0,0
2018-12-07 11:17:09,1,0,0,0,0,0,0
2018-12-07 11:17:10,2,3,0,0,0,0,0
2018-12-07 11:17:11,4,14,0,0,0,0,0
2018-12-07 11:17:12,2,0,0,0,0,0,0
2018-12-07 11:17:13,2,0,0,0,0,0,0
2018-12-07 11:17:14,1,0,0,0,0,0,0
2018-12-07 11:17:15,3,0,0,0,0,0,0
2018-12-07 11:17:16,4,0,0,0,0,0,0
2018-12-07 11:17:17,4,20,0,0,0,0,0
2018-12-07 11:17:19,4,0,0,0,0,0,0
2018-12-07 11:17:20,3,31,0,0,0,0,0
2018-12-07 11:17:21,3,3,0,0,0,0,0
2018-12-07 11:17:23,2,0,0,0,0,0,0
2018-12-07 11:17:25,1,0,0,0,0,0,0
2018-12-07 11:17:26,1,2,0,0,0,0,0
2018-12-07 11:17:28,5,2,0,0,0,0,0
2018-12-07 11:17:29,2,0,0,0,0,0,0
2018-12-07 11:17:30,2,0,0,0,0,0,0
2018-12-07 11:17:31,2,11,0,0,0,0,0
2018-12-07 11:17:33,2,0,0,0,0,0,0
2018-12-07 11:17:34,2,0,0,0,0,0,0
2018-12-07 11:17:35,2,0,0,0,0,0,0
2018-12-07 11:17:36,1,0,0,0,0,0,0
2018-12-07 11:17:37,8,14,0,0,0,0,0
2018-12-07 11:17:38,3,7,0,0,0,0,0
2018-12-07 11:17:39,2,20,0,0,0,0,0
2018-12-07 11:17:40,5,0,0,0,0,0,0
2018-12-07 11:17:41,8,2,0,0,0,0,0
2018-12-07 11:17:42,1,0,0,0,0,0,0
2018-12-07 11:17:43,3,4,0,0,0,0,0
2018-12-07 11:17:44,5,5,0,0,0,0,0
2018-12-07 11:17:45,6,0,0,0,0,0,0
2018-12-07 11:17:46,5,5,0,1,0,0,0
2018-12-07 11:17:47,1,0,0,0,0,0,0
2018-12-07 11:17:48,1,0,0,0,0,0,0
2018-12-07 11:17:49,4,0,0,0,0,0,0
2018-12-07 11:17:50,3,0,0,0,0,0,0
2018-12-07 11:17:51,1,0,0,0,0,0,0
2018-12-07 11:17:52,2,0,0,0,0,0,0
2018-12-07 11:17:53,1,0,0,0,0,0,0
2018-12-07 11:17:54,1,0,0,0,0,0,0
2018-12-07 11:18:00,1,0,0,0,0,0,0
2018-12-07 11:18:01,1,0,0,0,0,0,0
2018-12-07 11:18:02,1,0,0,0,0,0,0
2018-12-07 11:18:03,4,8,0,0,0,0,0
2018-12-07 11:18:04,1,0,0,0,0,0,0
2018-12-07 11:18:05,3,0,0,0,0,0,0
2018-12-07 11:18:06,1,0,0,0,0,0,0
